                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.68414,                0.57247,                 1.0638,                0.86835,                0.73542,                0.82302,                 0.6281,                0.94568,                0.88926,                 1.3458,                0.00439,                0.00439,                0.00439
                     87,                0.71975,                0.56613,                 1.0883,                0.72329,                0.74361,                0.79265,                0.61611,                0.98607,                0.79941,                 1.3333,               0.004324,               0.004324,               0.004324
                     88,                0.74626,                0.57316,                 1.0855,                0.73372,                0.68344,                0.79195,                0.62369,                 1.0076,                0.86351,                 1.3355,               0.004258,               0.004258,               0.004258
                     89,                0.69304,                0.57035,                 1.0726,                0.67219,                0.71218,                0.76523,                0.59865,                0.96616,                0.95603,                 1.3106,               0.004192,               0.004192,               0.004192
                     90,                0.74197,                0.60326,                 1.1079,                0.69682,                0.64174,                0.72288,                0.58282,                0.93269,                 1.0141,                 1.3144,               0.004126,               0.004126,               0.004126
                     91,                 0.7348,                0.59498,                  1.067,                0.67592,                0.75408,                 0.7506,                0.59836,                0.93816,                0.98464,                 1.3024,                0.00406,                0.00406,                0.00406
                     92,                0.72385,                0.60604,                 1.0882,                 0.7944,                0.77298,                0.79167,                0.62901,                0.94525,                0.87128,                 1.2958,               0.003994,               0.003994,               0.003994
                     93,                0.70639,                0.54373,                 1.0891,                0.79699,                 0.7477,                0.80397,                0.63715,                0.92418,                0.85281,                 1.2706,               0.003928,               0.003928,               0.003928
                     94,                0.69161,                0.54863,                 1.0701,                0.86274,                0.69374,                0.81129,                0.66074,                0.88458,                0.75183,                 1.2366,               0.003862,               0.003862,               0.003862
                     95,                0.72385,                0.57561,                 1.0915,                0.84854,                0.71437,                0.78948,                0.64967,                0.85041,                0.76959,                 1.2463,               0.003796,               0.003796,               0.003796
                     96,                0.68099,                0.52531,                  1.048,                0.86722,                0.64697,                0.75245,                0.62521,                0.88478,                0.78838,                 1.3046,                0.00373,                0.00373,                0.00373
                     97,                0.70991,                0.56553,                 1.0896,                0.82979,                0.62281,                0.74668,                0.60909,                0.94948,                0.86209,                 1.3472,               0.003664,               0.003664,               0.003664
                     98,                  0.655,                0.49576,                 1.0281,                0.64209,                0.78367,                0.75058,                0.60142,                0.98621,                0.84324,                 1.3932,               0.003598,               0.003598,               0.003598
